what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1714664107096
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1714664107096
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1714664107097
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1714664107098
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1714664107099
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1714664107099
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1714664107100
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1714664107101
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1714664107101
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1714664107102
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1714664107103
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1714664107104
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1714664107105
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1714664107106
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1714664107107
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1714664107108
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1714664107108
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1714664107109
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1714664107109
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1714664107109
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1714664107110
os,sysinfo,,,"win32",1714664107112
arch,sysinfo,,,"x86",1714664107112
ws,sysinfo,,,"win32",1714664107112
locale,sysinfo,,,"en_GB",1714664107112
processors,sysinfo,,,"16",1714664107112
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1714664107112
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1714664107112
java.specification.name,sysinfo,,,"Java Platform API Specification",1714664107112
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1714664107112
java.specification.version,sysinfo,,,"1.6",1714664107112
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1714664107112
java.version,sysinfo,,,"1.6.0_23",1714664107112
java.vm.info,sysinfo,,,"mixed mode",1714664107112
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1714664107112
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1714664107112
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1714664107112
java.vm.specification.version,sysinfo,,,"1.0",1714664107112
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1714664107112
java.vm.version,sysinfo,,,"19.0-b09",1714664107112
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714664196058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664197871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664198144
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1714664202098
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1714664203762
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664205577
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664205790
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1714664206372
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664207242
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664207422
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664207612
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664207781
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664207961
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664208130
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664208309
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664208501
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664208672
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1714664208851
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1714664209590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1714664210514
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deleteNextWord",1714664211836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1714664211850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1714664212872
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1714664216257
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1714664217879
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664222182
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664222375
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664222555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664222743
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664222914
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664223093
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664223261
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664223442
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664223610
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664223803
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664223961
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1714664224128
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1714664224735
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1714664273409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1714664275653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664276766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664286044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664288289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664351118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1714664362846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664370537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664371582
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1714664372052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714664372070
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1714664372874
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714664373598
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714664376718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664377104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664379248
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1714664386103
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1714664386151
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1714664386155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664387204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664391079
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714664391938
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1714664391947
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714664394891
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1714664395503
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1714664395513
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1714664395514
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1714664395515
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1714664395526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714664403452
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714664421844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664429013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664467722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664473274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664501150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664506964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664507745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664537605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664542840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664545817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664580626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664595247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664605864
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714664607562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714664629212
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714664630675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664632602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664633940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664639581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664642590
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714664642945
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714664645201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714664645599
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714664650632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664665264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664670284
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714664678780
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714664684597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664688303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664848631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664850509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664854478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714664856001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714668151696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714668152600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714668153657
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1714668153852
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714668154002
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1714668154362
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1714668154362
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1714668154362
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1714668155362
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1714668155362
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1714668155362
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1714668155362
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1714668155362
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1714668155362
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1714668155367
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1714668155367
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1714668155367
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1714668155367
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1714668155367
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1714668155372
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1714668155372
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1714668155372
