what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1715858175442
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715858179539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858181641
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1715858183771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858183804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858183844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858185914
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1715858185927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858188183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858189784
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715858191064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1715858195571
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715858196661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858200670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858204470
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1715858205062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858205191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715858208281
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1715858208779
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1715858209044
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1715858214595
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715858217440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1715858219074
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715858245202
